"Country","Year","GINI_Index","Democratization_Level","Education_Expenditure","GDP_per_Capita"
"Ecuador",1983,5.8,5.8,3.94571428571429,2515.09
"El Salvador",1983,0,0,1.47391304347826,274.72
"Guatemala",1983,0,0,1.64647058823529,1867.99
"Honduras",1983,14.2,14.2,2.06214285714286,1349.2
"Nicaragua",1983,0,0,4.885,1795.19
"Panama",1983,0,0,3.55,3375.93
"Paraguay",1983,2.9,2.9,1.52428571428571,1797.72
"Peru",1983,13,13,3.27260869565217,1917.42
"Uruguay",1983,0,0,2.3175,3829.54
"Argentina",1984,27.7,27.7,2.57,2298.31
"Chile",1984,0,0,3.865,3215.17
"Colombia",1984,13.5,13.5,3,3699.57
"Costa Rica",1984,18.2,18.2,4.78,3731.65
"Ecuador",1984,12.8,12.8,4.2,2622.61
"El Salvador",1984,13.6,13.6,1.54565217391304,286.52
"Guatemala",1984,0,0,1.64882352941176,1903.02
"Honduras",1984,14.2,14.2,2.10285714285714,1414.53
"Nicaragua",1984,11.5,11.5,5.98,1833.49
"Panama",1984,16,16,3.47,3411.55
"Paraguay",1984,2.9,2.9,1.46214285714286,1858.07
"Peru",1984,13,13,3.26086956521739,2022.12
"Uruguay",1984,37.1,37.1,2.37,3913.62
"Argentina",1985,25.1,25.1,1.36,2299.77
"Chile",1985,0,0,3.51666666666667,3279.62
"Colombia",1985,13.5,13.5,2.72,3728.7
"Costa Rica",1985,18.2,18.2,4.6,3891.64
"Ecuador",1985,12.8,12.8,5.23,2716.12
"El Salvador",1985,13.6,13.6,1.61739130434783,297.39
"Guatemala",1985,6.6,6.6,1.65117647058824,1885.77
"Honduras",1985,17.2,17.2,2.14357142857143,1462.27
"Nicaragua",1985,11.5,11.5,5.77,1790
"Panama",1985,16,16,3.52,3522.08
"Paraguay",1985,2.9,2.9,1.4,1927.1
"Peru",1985,15.5,15.5,3.24913043478261,2069.11
"Uruguay",1985,37.1,37.1,2.57,4007.13
"Argentina",1986,25.1,25.1,1.26,2605.86
"Chile",1986,0,0,3.16833333333333,3462.05
"Colombia",1986,10.3,10.3,2.7175,3979.54
"Costa Rica",1986,21.2,21.2,4.42,4280.42
"Ecuador",1986,15.2,15.2,6.87,2646.33
"El Salvador",1986,13.6,13.6,1.68913043478261,323.24
"Guatemala",1986,6.6,6.6,1.65352941176471,1968.85
"Honduras",1986,17.2,17.2,2.18428571428571,1562.42
"Nicaragua",1986,11.5,11.5,5.56,1767.24
"Panama",1986,16,16,3.35,3882.53
